epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,1641.66,1.28647,1.03239,1.15863,0.88597,0.71518,0.82426,0.50219,1.12243,0.72936,1.15353,0.000858338,0.000858338,0.000858338
100,1658.21,1.27556,1.00848,1.15767,0.88308,0.73391,0.82931,0.49043,1.13652,0.72578,1.15369,0.000850087,0.000850087,0.000850087
101,1674.62,1.31032,1.05446,1.17162,0.86077,0.78295,0.84224,0.51227,1.13636,0.73198,1.16175,0.000841835,0.000841835,0.000841835
102,1691.41,1.30453,1.04157,1.17716,0.86307,0.75333,0.84523,0.5094,1.10972,0.71488,1.12389,0.000833583,0.000833583,0.000833583
103,1707.68,1.29461,1.02673,1.15225,0.84502,0.77573,0.84657,0.50802,1.13877,0.71395,1.13315,0.000825332,0.000825332,0.000825332
104,1723.92,1.27434,1.01479,1.15508,0.8299,0.76,0.84299,0.51436,1.13418,0.73047,1.12769,0.00081708,0.00081708,0.00081708
105,1740.34,1.28643,1.01639,1.15683,0.87977,0.72657,0.8405,0.50737,1.12885,0.7161,1.11819,0.000808828,0.000808828,0.000808828
106,1756.58,1.28153,0.98633,1.14973,0.86149,0.75782,0.85613,0.52302,1.07212,0.70267,1.08589,0.000800577,0.000800577,0.000800577
107,1774.06,1.28056,0.99567,1.14005,0.88186,0.7215,0.83377,0.50445,1.114,0.71571,1.11689,0.000792325,0.000792325,0.000792325
108,1792.11,1.23255,0.97681,1.12751,0.8795,0.73882,0.85412,0.51957,1.0949,0.71118,1.11989,0.000784073,0.000784073,0.000784073
109,1809.99,1.25674,0.98283,1.13864,0.86022,0.75905,0.8577,0.51635,1.1169,0.73006,1.13304,0.000775822,0.000775822,0.000775822
110,1827.82,1.24828,0.97692,1.15455,0.82162,0.77549,0.83319,0.50746,1.10968,0.71394,1.11641,0.00076757,0.00076757,0.00076757
111,1845.64,1.23806,0.94536,1.13689,0.85968,0.77561,0.85672,0.51891,1.10452,0.70325,1.11566,0.000759318,0.000759318,0.000759318
112,1863.53,1.24389,0.9713,1.12615,0.82726,0.7743,0.83312,0.5054,1.10248,0.69898,1.1275,0.000751067,0.000751067,0.000751067
113,1881.36,1.24227,0.98426,1.11593,0.85123,0.78307,0.84953,0.51227,1.13666,0.70899,1.15396,0.000742815,0.000742815,0.000742815
114,1899.23,1.22888,0.97406,1.1312,0.82046,0.77537,0.84096,0.51741,1.10087,0.70494,1.13121,0.000734564,0.000734564,0.000734564
115,1917.07,1.2505,0.981,1.12273,0.85403,0.76411,0.84308,0.51617,1.0903,0.71192,1.12833,0.000726312,0.000726312,0.000726312
116,1934.97,1.22248,0.94328,1.12314,0.82063,0.79076,0.84881,0.51603,1.11373,0.71494,1.13441,0.00071806,0.00071806,0.00071806
117,1952.83,1.22925,0.95918,1.11419,0.90879,0.71263,0.84097,0.5159,1.09389,0.69743,1.11932,0.000709809,0.000709809,0.000709809
118,1971.25,1.20551,0.91627,1.11076,0.83532,0.77778,0.85377,0.51975,1.09003,0.67799,1.11455,0.000701557,0.000701557,0.000701557
119,1989.27,1.19482,0.9297,1.11123,0.88154,0.75685,0.85878,0.52537,1.0742,0.6768,1.11238,0.000693305,0.000693305,0.000693305
120,2007.4,1.20778,0.93031,1.11434,0.90399,0.73585,0.84979,0.53215,1.04661,0.65722,1.08487,0.000685054,0.000685054,0.000685054
121,2025.5,1.20045,0.933,1.11017,0.85455,0.78571,0.86428,0.5341,1.04235,0.65891,1.0846,0.000676802,0.000676802,0.000676802
122,2043.64,1.20069,0.91945,1.11599,0.83131,0.79073,0.85952,0.53792,1.04142,0.66631,1.09223,0.00066855,0.00066855,0.00066855
123,2061.72,1.18126,0.912,1.11077,0.8463,0.78042,0.85316,0.53237,1.05726,0.66109,1.103,0.000660299,0.000660299,0.000660299
124,2079.56,1.18899,0.92721,1.10609,0.85218,0.78608,0.85507,0.53898,1.03338,0.63843,1.08438,0.000652047,0.000652047,0.000652047
125,2097.7,1.22,0.94247,1.11364,0.83913,0.80387,0.85773,0.53768,1.03318,0.65227,1.08031,0.000643795,0.000643795,0.000643795
126,2115.47,1.1907,0.90352,1.11101,0.88083,0.73683,0.8488,0.52911,1.01304,0.64366,1.07658,0.000635544,0.000635544,0.000635544
127,2133.31,1.20297,0.91533,1.10623,0.90686,0.73497,0.85353,0.52757,1.03169,0.64745,1.10496,0.000627292,0.000627292,0.000627292
128,2151.16,1.18758,0.90303,1.10768,0.89407,0.72616,0.84644,0.53069,1.01,0.64242,1.08693,0.00061904,0.00061904,0.00061904
129,2168.97,1.1979,0.90747,1.10399,0.88827,0.74759,0.85469,0.52881,1.01464,0.63419,1.0794,0.000610789,0.000610789,0.000610789
130,2187.12,1.17095,0.90865,1.09683,0.86643,0.75145,0.85069,0.52927,1.05005,0.65447,1.12009,0.000602537,0.000602537,0.000602537
131,2205.02,1.18334,0.90765,1.10318,0.89855,0.73196,0.85076,0.53118,1.02754,0.65131,1.09995,0.000594286,0.000594286,0.000594286
132,2222.9,1.18999,0.90526,1.11163,0.86199,0.76847,0.8511,0.54795,1.00463,0.64625,1.08525,0.000586034,0.000586034,0.000586034
133,2240.89,1.20325,0.9044,1.10034,0.86539,0.76804,0.84495,0.54094,1.02497,0.6653,1.08175,0.000577782,0.000577782,0.000577782
134,2258.69,1.16985,0.89537,1.10211,0.86753,0.77158,0.8522,0.54799,1.02193,0.65166,1.08807,0.000569531,0.000569531,0.000569531
135,2276.69,1.17241,0.90334,1.09762,0.89069,0.73028,0.85637,0.54039,1.01877,0.64767,1.07329,0.000561279,0.000561279,0.000561279
136,2294.51,1.15151,0.88436,1.08588,0.86455,0.76471,0.86265,0.54392,1.01654,0.64213,1.08796,0.000553027,0.000553027,0.000553027
137,2312.35,1.16191,0.88857,1.09315,0.84766,0.7708,0.86131,0.54632,1.00868,0.6401,1.08097,0.000544776,0.000544776,0.000544776
138,2330.11,1.14189,0.87605,1.08408,0.87494,0.76323,0.85986,0.54024,0.99477,0.61904,1.07614,0.000536524,0.000536524,0.000536524
139,2347.91,1.13581,0.88049,1.07799,0.85216,0.77381,0.85309,0.54237,0.99704,0.61953,1.08238,0.000528272,0.000528272,0.000528272
140,2365.78,1.13826,0.85684,1.08494,0.87287,0.76404,0.85058,0.53651,1.00999,0.62463,1.09132,0.000520021,0.000520021,0.000520021
141,2383.59,1.14925,0.86909,1.08759,0.84332,0.80969,0.86859,0.54589,0.98888,0.59573,1.08029,0.000511769,0.000511769,0.000511769
142,2401.48,1.16211,0.89653,1.09984,0.85993,0.80604,0.86513,0.5478,0.99327,0.62823,1.07972,0.000503517,0.000503517,0.000503517
143,2419.31,1.10374,0.83057,1.0701,0.85815,0.77409,0.85912,0.54578,1.00516,0.61314,1.07783,0.000495266,0.000495266,0.000495266
144,2437.16,1.14367,0.8626,1.07854,0.83598,0.79113,0.85526,0.53942,1.02637,0.64497,1.09305,0.000487014,0.000487014,0.000487014
145,2454.98,1.1346,0.84822,1.07691,0.83988,0.76891,0.84767,0.54316,1.00108,0.62802,1.07936,0.000478762,0.000478762,0.000478762
146,2472.81,1.10002,0.82363,1.06301,0.86963,0.7639,0.84969,0.54273,0.99325,0.62907,1.07716,0.000470511,0.000470511,0.000470511
147,2490.6,1.11332,0.83974,1.06974,0.90257,0.7366,0.85743,0.54415,0.98384,0.62615,1.07585,0.000462259,0.000462259,0.000462259
148,2508.46,1.11007,0.83227,1.07886,0.86944,0.74848,0.85919,0.54991,0.97087,0.60543,1.06581,0.000454007,0.000454007,0.000454007
149,2526.5,1.10413,0.82118,1.06164,0.84296,0.78066,0.87078,0.55666,0.96342,0.60643,1.05727,0.000445756,0.000445756,0.000445756
150,2544.51,1.08236,0.7992,1.05366,0.82425,0.82395,0.87618,0.55828,0.96447,0.61256,1.05946,0.000437504,0.000437504,0.000437504
151,2562.5,1.10111,0.8191,1.06465,0.84341,0.81638,0.87895,0.56087,0.9697,0.61542,1.06728,0.000429253,0.000429253,0.000429253
152,2580.48,1.11462,0.81774,1.06827,0.84165,0.81638,0.86983,0.54615,0.9845,0.61921,1.07897,0.000421001,0.000421001,0.000421001
153,2598.29,1.07698,0.80407,1.04721,0.83365,0.80515,0.86465,0.54777,0.98765,0.62165,1.07318,0.000412749,0.000412749,0.000412749
154,2616.16,1.11724,0.84908,1.06035,0.86758,0.77862,0.86536,0.55098,0.97511,0.60175,1.06315,0.000404498,0.000404498,0.000404498
155,2634.26,1.11101,0.8292,1.0615,0.86794,0.77143,0.8639,0.55311,0.96311,0.60313,1.0504,0.000396246,0.000396246,0.000396246
156,2652.21,1.10633,0.80952,1.06369,0.82892,0.78558,0.85973,0.55583,0.97989,0.5904,1.07294,0.000387994,0.000387994,0.000387994
157,2670.11,1.10759,0.81891,1.0637,0.82411,0.79365,0.85955,0.55806,0.97757,0.59412,1.07359,0.000379743,0.000379743,0.000379743
158,2688,1.0507,0.78427,1.04092,0.82316,0.80223,0.86189,0.55924,0.97034,0.58974,1.06968,0.000371491,0.000371491,0.000371491
159,2705.86,1.05631,0.78795,1.05642,0.85051,0.77897,0.8661,0.55988,0.954,0.60293,1.07303,0.000363239,0.000363239,0.000363239
160,2723.68,1.09007,0.80468,1.0594,0.8577,0.80359,0.87107,0.5613,0.96022,0.59711,1.07477,0.000354988,0.000354988,0.000354988
161,2741.76,1.06851,0.78341,1.05249,0.8779,0.76816,0.86511,0.56314,0.9531,0.60885,1.0732,0.000346736,0.000346736,0.000346736
162,2759.89,1.06381,0.77468,1.04907,0.84649,0.78595,0.86479,0.55822,0.94788,0.59778,1.05824,0.000338484,0.000338484,0.000338484
163,2777.7,1.05896,0.77437,1.05357,0.85383,0.79341,0.86695,0.56642,0.94267,0.59397,1.04917,0.000330233,0.000330233,0.000330233
164,2795.73,1.0555,0.78383,1.03935,0.85503,0.81042,0.87197,0.56866,0.93938,0.58411,1.05116,0.000321981,0.000321981,0.000321981
165,2813.73,1.05607,0.77698,1.04313,0.86298,0.80616,0.86785,0.56887,0.93814,0.58477,1.04915,0.000313729,0.000313729,0.000313729
166,2831.81,1.06341,0.7892,1.03709,0.86608,0.78583,0.85922,0.56731,0.93737,0.58627,1.04621,0.000305478,0.000305478,0.000305478
167,2849.66,1.05751,0.76837,1.04229,0.87411,0.76888,0.85835,0.57295,0.92281,0.58659,1.03765,0.000297226,0.000297226,0.000297226
168,2867.74,1.08114,0.7951,1.05403,0.8664,0.78054,0.8679,0.57093,0.93234,0.58247,1.04677,0.000288974,0.000288974,0.000288974
169,2885.74,1.05282,0.78846,1.03807,0.84045,0.78547,0.85715,0.56452,0.93234,0.58042,1.05496,0.000280723,0.000280723,0.000280723
170,2903.56,1.03757,0.75273,1.02568,0.83847,0.79276,0.86089,0.56639,0.94007,0.57811,1.06109,0.000272471,0.000272471,0.000272471
171,2921.38,1.06519,0.76112,1.04017,0.8454,0.80351,0.87234,0.57138,0.93255,0.57959,1.04403,0.00026422,0.00026422,0.00026422
172,2939.31,1.02794,0.75385,1.03561,0.86115,0.78343,0.87398,0.57262,0.92821,0.58075,1.05333,0.000255968,0.000255968,0.000255968
173,2957.21,1.05683,0.76863,1.04639,0.86413,0.78836,0.87244,0.57488,0.91359,0.57356,1.0503,0.000247716,0.000247716,0.000247716
